date,time,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,error
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,7.9456,0.15,1.3656
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,7.9456,0.15,1.2056
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,7.9456,0.15,0.2056
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,7.9456,0.15,1.1044
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,7.9456,0.15,1.3444
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,7.9456,0.15,0.0244
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,6.77632,0.15,0.19632
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,6.77632,0.15,0.03632
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,6.77632,0.15,0.96368
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,6.77632,0.15,2.27368
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,6.77632,0.15,2.51368
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,6.77632,0.15,1.19368
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,6.59968,0.15,0.01968
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,6.59968,0.15,0.14032
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,6.59968,0.15,1.14032
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,6.59968,0.15,2.45032
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,6.59968,0.15,2.69032
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,6.59968,0.15,1.37032
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,7.9456,0.3,1.9944
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,7.9456,0.3,1.9844
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,7.9456,0.3,3.1444
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,7.9456,0.3,3.2244
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,7.9456,0.3,2.5544
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,7.9456,0.3,3.5244
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,6.77632,0.3,3.16368
