date,time,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,error
7/9/2024,14:22,1,30.72,647.3,0.31,414.2,6.72,90.1,7.64,0.15,63.27,22.20992,0.15,41.06008
7/9/2024,14:22,2,30.71,646.4,0.31,413.7,6.76,90.7,7.62,0.14,73.29,22.20992,0.15,51.08008
7/9/2024,14:22,3,30.71,647.5,0.31,414.4,6.84,91.8,7.61,0.15,78.74,22.20992,0.15,56.53008
7/9/2024,14:22,4,30.73,648.3,0.31,414.9,6.89,92.4,7.6,0.15,84.33,22.20992,0.15,62.12008
7/9/2024,14:22,5,30.74,648.1,0.31,414.8,6.91,92.8,7.59,0.14,85.76,22.20992,0.15,63.55008
7/9/2024,14:22,6,30.75,651.7,0.31,417.1,6.96,93.4,7.57,0.14,94.33,22.20992,0.15,72.12008
7/9/2024,14:22,1,30.72,647.3,0.31,414.2,6.72,90.1,7.64,0.15,63.27,21.63392,0.15,41.63608
7/9/2024,14:22,2,30.71,646.4,0.31,413.7,6.76,90.7,7.62,0.14,73.29,21.63392,0.15,51.65608
7/9/2024,14:22,3,30.71,647.5,0.31,414.4,6.84,91.8,7.61,0.15,78.74,21.63392,0.15,57.10608
7/9/2024,14:22,4,30.73,648.3,0.31,414.9,6.89,92.4,7.6,0.15,84.33,21.63392,0.15,62.69608
7/9/2024,14:22,5,30.74,648.1,0.31,414.8,6.91,92.8,7.59,0.14,85.76,21.63392,0.15,64.12608
7/9/2024,14:22,6,30.75,651.7,0.31,417.1,6.96,93.4,7.57,0.14,94.33,21.63392,0.15,72.69608
7/9/2024,14:22,1,30.72,647.3,0.31,414.2,6.72,90.1,7.64,0.15,63.27,20.11584,0.15,43.15416
7/9/2024,14:22,2,30.71,646.4,0.31,413.7,6.76,90.7,7.62,0.14,73.29,20.11584,0.15,53.17416
7/9/2024,14:22,3,30.71,647.5,0.31,414.4,6.84,91.8,7.61,0.15,78.74,20.11584,0.15,58.62416
7/9/2024,14:22,4,30.73,648.3,0.31,414.9,6.89,92.4,7.6,0.15,84.33,20.11584,0.15,64.21416
7/9/2024,14:22,5,30.74,648.1,0.31,414.8,6.91,92.8,7.59,0.14,85.76,20.11584,0.15,65.64416
7/9/2024,14:22,6,30.75,651.7,0.31,417.1,6.96,93.4,7.57,0.14,94.33,20.11584,0.15,74.21416
7/9/2024,14:23,1,30.74,647.9,0.31,414.6,7,94,7.56,0.3,76.84,22.20992,0.3,54.63008
7/9/2024,14:23,2,30.74,647.3,0.31,414.3,7.02,94.2,7.55,0.3,95.57,22.20992,0.3,73.36008
