station,Date,Time,replicate #,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,error
SR64,7/2/2024,9:48,1,31.3,37770,23.8,24170,6.43,99,6.21,0.15,6.17,8.94656,0.15,2.77656
SR64,7/2/2024,9:49,2,31.23,37740,23.78,24150,5.54,85.2,6.97,0.16,10.62,8.94656,0.15,1.67344
SR64,7/2/2024,9:49,3,31.25,37740,23.77,24150,5.39,82.9,7.17,0.18,6.17,8.3616,0.15,2.1916
SR64,7/2/2024,9:50,4,31.29,37800,23.81,24190,5.13,79,7.31,0.14,5.71,8.3616,0.15,2.6516
SR64,7/2/2024,9:50,5,31.28,37650,23.71,24090,4.97,76.5,7.37,0.15,13.57,9.17632,0.15,4.39368
SR64,7/2/2024,9:50,6,31.29,37790,23.81,24180,4.96,76.4,7.39,0.14,5.93,9.17632,0.15,3.24632
SR64,7/2/2024,9:51,1,31.26,37850,23.85,24220,4.93,76,7.45,0.3,7.59,8.94656,0.3,1.35656
SR64,7/2/2024,9:51,2,31.28,37850,23.85,24220,4.77,73.5,7.45,0.29,6.93,8.94656,0.3,2.01656
SR64,7/2/2024,9:51,3,31.28,37900,23.88,24250,4.74,73,7.45,0.29,7.41,8.3616,0.3,0.9516
SR64,7/2/2024,9:51,4,31.25,37950,23.92,24290,4.67,71.9,7.45,0.31,6.45,8.3616,0.3,1.9116
SR64,7/2/2024,9:51,5,31.27,37930,23.91,24280,4.59,70.7,7.45,0.28,8.12,9.17632,0.3,1.05632
SR64,7/2/2024,9:52,6,31.28,37900,23.88,24250,4.53,69.8,7.46,0.32,7.65,9.17632,0.3,1.52632
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.94656,0.45,0.41344
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.94656,0.45,0.92656
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.3616,0.45,0.5684
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.3616,0.45,0.9184
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,9.17632,0.45,0.30368
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,9.17632,0.45,0.48368
SR64,7/2/2024,9:54,1,31.28,38010,23.96,24320,4.43,68.3,7.48,0.6,12.39,8.94656,0.6,3.44344
SR64,7/2/2024,9:54,2,31.31,37880,23.87,24240,4.47,68.9,7.47,0.59,12.58,8.94656,0.6,3.63344
SR64,7/2/2024,9:55,3,31.31,37920,23.9,24270,4.45,68.6,7.48,0.6,14.02,8.3616,0.6,5.6584
SR64,7/2/2024,9:55,4,31.31,37950,23.92,24290,4.43,68.3,7.48,0.6,13.42,8.3616,0.6,5.0584
SR64,7/2/2024,9:55,5,31.31,37940,23.91,24280,4.42,68.1,7.48,0.6,13.26,9.17632,0.6,4.08368
SR64,7/2/2024,9:55,6,31.32,37940,23.91,24280,4.41,68.1,7.48,0.6,13.46,9.17632,0.6,4.28368
SR64,7/2/2024,9:56,1,31.2,38390,24.23,24570,4.4,67.8,7.46,0.74,15.81,8.94656,0.75,6.86344
SR64,7/2/2024,9:56,2,31.2,38360,24.21,24550,4.24,65.4,7.45,0.74,13.97,8.94656,0.75,5.02344
SR64,7/2/2024,9:56,3,31.2,38350,24.2,24540,4.22,65,7.44,0.75,13.53,8.3616,0.75,5.1684
SR64,7/2/2024,9:56,4,31.2,38390,24.23,24570,4.19,64.6,7.43,0.75,12.97,8.3616,0.75,4.6084
SR64,7/2/2024,9:56,5,31.2,38340,24.2,24540,4.18,64.4,7.43,0.75,14.16,9.17632,0.75,4.98368
SR64,7/2/2024,9:56,6,31.18,38340,24.2,24540,4.13,63.6,7.43,0.75,16.03,9.17632,0.75,6.85368
